Afternoon of September 14.	Hapon ng ika-labing-apat ng Septyembre.
Afternoon of September 15.	Hapon ng ika-labinlima ng Septyembre.
Afternoon of September 16.	Hapon ng ika-labing-anim ng Septyembre.
Afternoon of September 17.	Hapon ng ika-labinpito ng Septyembre.
Afternoon of September 18.	Hapon ng ika-labinwalo ng Septyembre.
Afternoon of September 19.	Hapon ng ika-labingsiyam ng Septyembre.
Afternoon of September 20.	Hapon ng ika-dalawampu ng Septyembre.
Afternoon of September 21.	Hapon ng ika-dalawampu't isa ng Septyembre.
Afternoon of September 22.	Hapon ng ika-dalawampu't dalawa ng Septyembre.
Afternoon of September 23.	Hapon ng ika-dalawampu't tatlo ng Septyembre.
Afternoon of September 24.	Hapon ng ika-dalawampu't apat ng Septyembre.
Afternoon of September 25.	Hapon ng ika-dalawampu't lima ng Septyembre.
Afternoon of September 26.	Hapon ng ika-dalawampu't anim ng Septyembre.
Afternoon of September 27.	Hapon ng ika-dalawampu't pito ng Septyembre.
Afternoon of September 28.	Hapon ng ika-dalawampu't walo ng Septyembre.
Afternoon of September 29.	Hapon ng ika-dalawampu't siyam ng Septyembre.
Afternoon of September 30.	Hapon ng ika-tatlumpu ng Septyembre.
Afterwards, have this printed.	Pagkatapos, ito ay iyong ipa-print.
Age has nothing to do with love.	Walang kinalaman ang edad sa pag-ibig.
Ah, I'm talking to somebody else.	Ah, iba pala ang kausap ko.
I'm so grateful and proud.	Ako ay nagpapasalamat at nagmamalaki.
Alcohol makes everything go around.	Ang alcohol ay nagpapaikot ng lahat.
Algebra is a branch of mathematics.	Ang alhebra ay isang sangay ng matematika.
Alice knows how to socialize.	Si Alice ay marunong makipagkapwa-tao.
All bees has a floorball stick.	Lahat ng bubuyog ay may floorball stick.
All bees know floorball.	Alam ng lahat ng bubuyog ang floorball.
All bees play floorball.	Naglalaro ang lahat ng bubuyog ng floorball.
All I have is a microphone.	Ang mayroon lang ako ay mikropono.
All my friends had already gone home.	Lahat ng kaibigan ko ay nakauwi na.
All of my prayers were answered by God.	Bawat dalangin ko ay sinagot ng Diyos.
All of the students were present.	Naroon ang lahat ng mag-aaral.
All of them ask me that.	Lahat sila nagtatanong sa akin ng ganyan.
All of us looked through the window.	Lahat kami'y tumanaw sa bintana.
All people will receive their reward.	Lahat ng tao ay tatanggap ng gatimpala.
All puppies has a floorball stick.	Lahat ng tuta ay may floorball stick.
All puppies know floorball.	Alam ng lahat ng tuta ang floorball.
All puppies play floorball.	Naglalaro ang lahat ng tuta ng floorball.
All students like holidays.	gusto lahat ng estudyante ang bakasyon.
All the chairs on the left are broken!	Sira ang lahat ng mga silya sa kaliwa!
All the chairs on the left are broken!	Sira ang lahat ng mga upuan sa kaliwa!
All the chairs on the left are broken.	Sira ang lahat ng mga silya sa kaliwa.
All the chairs on the left are broken.	Sira ang lahat ng mga upuan sa kaliwa.
All the chairs on the right are broken!	Sira ang lahat ng mga silya sa kanan!
All the chairs on the right are broken!	Sira ang lahat ng mga upuan sa kanan!
All the chairs on the right are broken.	Sira ang lahat ng mga silya sa kanan.
All the chairs on the right are broken.	Sira ang lahat ng mga upuan sa kanan.
All the computers are broken!	Sira ang lahat ng mga kompyuter!
All the computers are broken.	Sira ang lahat ng mga kompyuter.
All the kids started dancing.	Nagsimulang sumayaw ang mga bata.
All the kids started playing.	Nagsimulang maglaro ang mga bata.
All the kids started singing.	Nagsimulang kumanta ang mga bata.
All the tables in the middle are broken!	Sira ang lahat ng mga mesa sa gitna!
All the tables in the middle are broken.	Sira ang lahat ng mga mesa sa gitna.
All the tables on the left are broken!	Sira ang lahat ng mga mesa sa kaliwa!
All the tables on the left are broken.	Sira ang lahat ng mga mesa sa kaliwa.
All the tables on the right are broken!	Sira ang lahat ng mga mesa sa kanan!
All the tables on the right are broken.	Sira ang lahat ng mga mesa sa kanan.
All these computers are broken!	Sira lahat itong mga kompyuter!
All these computers are broken.	Sira lahat itong mga kompyuter.
All these tables on the left are broken!	Sira lahat itong mga mesa sa kaliwa!
All these tables on the left are broken.	Sira lahat itong mga mesa sa kaliwa.
All these tables on the right are broken!	Sira lahat itong mga mesa sa kanan!
All these tables on the right are broken.	Sira lahat itong mga mesa sa kanan.
All this is in your imagination.	Lahat ng ito'y nasa guni-guni mo.
All those computers are broken!	Sira lahat iyong mga kompyuter!
All those computers are broken.	Sira lahat iyong mga kompyuter.
All those flowers look alike.	Magkamukha ang lahat ng bulaklak.
All those flowers look alike.	Magkamukha ang lahat niyong bulaklak.
All those tables on the left are broken!	Sira lahat iyong mga mesa sa kaliwa!
All those tables on the left are broken.	Sira lahat iyong mga mesa sa kaliwa.
All those tables on the right are broken!	Sira lahat iyong mga mesa sa kanan!
All those tables on the right are broken.	Sira lahat iyong mga mesa sa kanan.
All tigers has a floorball stick.	Lahat ng tigre ay may floorball stick.
All tigers know floorball.	Alam ng lahat ng tigre ang floorball.
All tigers play floorball.	Naglalaro ang lahat ng tigre ng floorball.
All you have to do is sweep the floor.	Kailangan mo lang walisan ang sahig.
All your flowers look alike.	Magkamukha ang lahat niyong bulaklak.
Almost everyone has already gone home.	Halos lahat ng tao ay nakauwi na.
already gone on to be with the Lord.	umalis na para makasam ang Panginoon.
Alright, I will really sleep now.	Sige, matutulog na talaga ako.
Although it was raining, I went out.	Kahit na umuulan, lumabas ako.
Always know when to log out.	Laging alam kung kailan magla-log out.
Always remember that you are unique.	Lagi mong tatandaan na ikaw ay naiiba.
Always stay calm and composed.	Laging manatiling kalmado at mahinahon.
Am I the one reporting today?	Ako ba ang mag-uulat ngayong araw?
Am I your real brother?	Ako baa ng iyong tunay na kapatid na lalaki?
America is the land of opportunity.	Ang Amerika ay lugar ng oportunidad.
Amy is getting married to Sheldon.	Ikakasal na si Amy kay Sheldon.
an aversion to vaccines and say.	pag-ayaw sa mga bakuna at sasabihin ninyo.
An injury caused a setback.	Isang sugat ang nagdulot ng hadlang.
And at the same time he said it.	at sa oras rin na iyon ay sinabi niya.
And besides, she is now in mourning.	at saka siya ay nagluluksa ngayon.
And don't go with that weepy face.	Pero wag kang pumuntang luhaan ang mukha.
And I know it's a long shot.	At alam kong ito ay malayo na pagbaril.
And I'm sorry if I don't make it back.	At paumanhin kung hindi ako makabalik.
And in 1 Thessalonians chapter 4.	At sa 1 Thessalonians na kapitulo 4.
And it's hard to get a job nowadays.	Mahirap ngang humanap ng trabaho ngayon.
And now there's this recruiting.	at ngayon ay meron ng mga nag-aayang sumali.
And now, when shall we meet again?	ngayon, kailan tayo muling magkikita?
and one of them refers to Jacob.	at isa sa mga ito ay tumutukoy kay Hacob.
And Rostopchin now knew it.	At ngayon ay alam na ni Rostopchin.
And she being with child cried.	At siyay nagdadalang tao at siyay sumisigaw.
and that pediatricians have shown.	at ang mga pediatrician ay nagpakita.
And the sound of my footsteps.	At ang tunog ng yabag ng aking mga paa.
And then I'm being told to shut up.	Pagkatapos sinasabihan akong manahimik.
And then, the baby is pulled out.	Pagkatapos, hinihila ang bata palabas.
And we can act accordingly.	At maaari kaming kumilos nang naaayon.
And when you try to tell them.	At kapag nagsubok kang sabihin ito sa kanila.
And where is your brother-in-law now?	nasaan na ang iyong hipag?
And with the voice of the archangel.	At may boses ng arkanghel.
My car is as fast as yours.	Ang aking sasakyan ay kasing bilis ng sa iyo.
The sun is setting in the west.	Ang araw ay lumulubog sa kanluran.
Her cat sings her song.	Ang kanyang pusa ay inaawit ang kanyang awit.
Animals possibly have souls.	Maaaring may kaluluwa ang mga hayop.
Animals that float are already dead.	Ang mga lumulutang na hayop ay patay na.
Animals that float are dead.	Ang mga lumulutang na hayop ay patay.
Anna planted a coconut tree.	Nagtanim ng punong niyog si Anna.
What will you do this Saturday?	Ano ba ang gagawin mo ngayong Sabado?
Another big demon appears.	Isa pang malaking demonyo ang nagpakita.
Another chicken screams for help.	Ang isa pang manok ay sumugaw ng tulong.
Another example is the barnacle.	Ang isa pang halimbawa ang barnacle.
Another jellyfish is on the loose.	Isa pang dikya ang nakawala.
Another jellyfish screams for help.	Ang isa pang dikya ay sumugaw ng tulong.
Another weird bird shows up.	Isa pang kakaibang ibon ang nagpakita.
Another weird firefly shows up.	Isa pang kakaibang alitaptap ang nagpakita.
Another weird sheep shows up.	Isa pang kakaibang tupa ang nagpakita.
Ants eat dead animals.	Kumakain ng mga patay na hayop ang mga langgam.
Ants like sweet food.	Mahilig sa matamis na pagkain ang mga langgam.
Ants live underground.	Nakatira sa ilalim ng lupa ang mga langgam.
anyone can stand on tuesday.	kahit sino ay pwedeng tumayo sa martes.
Anyway, we'll see each other tomorrow.	Pagwawalis lamang ang gagawin mo.
Anyway, you'll never know.	Anuman ang mangyari, hindi mo malalaman.
Anywhere around here is fine.	Kahit saan sa paligid dito ay pwede na.
Apes rank above dogs in intelligence.	Mas matalino ang unggoy kaysa sa aso.
Apo Whang Od lives in Buscalan.	Si Apo Whang Od ay nakatira sa Buscalan.
apple is not that expensive.	hindi ganoong kamahal ang mansanas.
Apples are cheap in the market.	Mura sa palengke ang mga mansanas.
Apples are either colored red or green.	Ang mga mansanas ay pula o berde.
April eight is the date today.	Ikawalo ng Abril ang petsa ngayon.
April eighteen is the date today.	Ikabing-walo ng Abril ang petsa ngayon.
April eleven is the date today.	Ikalabing-isa ng Abril ang petsa ngayon.
April fifteen is the date today.	Ikalabing-lima ng Abril ang petsa ngayon.
April five is the date today.	Ikalima ng Abril ang petsa ngayon.
April four is the date today.	Ikaapat ng Abril ang petsa ngayon.
April fourteen is the date today.	Ikalabing-apat ng Abril ang petsa ngayon.
April nine is the date today.	Ikasiyam ng Abril ang petsa ngayon.
April nineteen is the date today.	Ikalabing-siyam ng Abril ang petsa ngayon.
April seven is the date today.	Ikapito ng Abril ang petsa ngayon.
April seventeen is the date today.	Ikalabing-pito Abril ang petsa ngayon.
April six is the date today.	Ikaanim ng Abril ang petsa ngayon.
April sixteen is the date today.	Ikalabing-anim ng Abril ang petsa ngayon.
April ten is the date today.	Ikasampu ng Abril ang petsa ngayon.
April thirteen is the date today.	Ikalabing-tatlo ng Abril ang petsa ngayon.
April thirty is the date today.	Ikatatlompu't ng Abril ang petsa ngayon.
April three is the date today.	Ikatlo ng Abril ang petsa ngayon.
April twelve is the date today.	Ikalabing-dalawa ng Abril ang petsa ngayon.
April twenty is the date today.	Ikadalawampu't ng Abril ang petsa ngayon.
April two is the date today.	Ikalawa ng Abril ang petsa ngayon.
Archie spoke arrogantly earlier.	Ang yabang ni Archie magsalita kanina.
Are all assignments submitted?	Naipasa na ba lahat ng mga takdang-aralin?
Are all the computers broken?	Sira ba ang lahat ng mga kompyuter?
Are all these computers broken?	Sira ba lahat itong mga kompyuter?
Are all those computers broken?	Sira ba lahat iyong mga kompyuter?
are going to know that something is happening.	ay malalaman na may nagaganap.
are standing on the word of God.	ay nakatayo sa salita ng Diyos.
Are the chairs in the middle broken?	Sira ba ang mga silya sa gitna?
Are the chairs in the middle broken?	Sira ba ang mga upuan sa gitna?
Are the chairs on the left broken?	Sira ba ang mga silya sa kaliwa?
Are the chairs on the left broken?	Sira ba ang mga upuan sa kaliwa?
Are the chairs on the right broken?	Sira ba ang mga silya sa kanan?
Are the chairs on the right broken?	Sira ba ang mga upuan sa kanan?
Are the computers in the middle broken?	Sira ba ang mga kompyuter sa gitna?
Are the computers on the left broken?	Sira ba ang mga kompyuter sa kaliwa?
Are the computers on the right broken?	Sira ba ang mga kompyuter sa kanan?
Are the tables in the middle broken?	Sira ba ang mga mesa sa gitna?
Are the tables on the left broken?	Sira ba ang mga mesa sa kaliwa?
Are the tables on the right broken?	Sira ba ang mga mesa sa kanan?
Are there any beautiful parks in Japan?	May magaganda bang park sa Japan?
Are there any cute girls in your class?	May cute na mga babae ba sa klase mo?
Are there any open stores as of now?	May bukas pa kayang tindahan ngayon?
Are there any stores nearby?	Mayroon po bang malapit na tindahan dito?
Are there many people running now?	Marami bang tumatakbo ngayon?
Are there props that are ready?	Mayroon bang mga props na nakahanda?
Are there unoccupied rooms available?	Mayroon pa bang mga kuwarto na bakante?
Are these chairs in the middle broken?	Sira ba itong mga silya sa gitna?
Are these chairs in the middle broken?	Sira ba itong mga upuan sa gitna?
Are these chairs on the left broken?	Sira ba itong mga silya sa kaliwa?
Are these chairs on the left broken?	Sira ba itong mga upuan sa kaliwa?
Are these chairs on the right broken?	Sira ba itong mga silya sa kanan?
Are these chairs on the right broken?	Sira ba itong mga upuan sa kanan?
Are these tables in the middle broken?	Sira ba itong mga mesa sa gitna?
Are these tables on the left broken?	Sira ba itong mga mesa sa kaliwa?
Are these tables on the right broken?	Sira ba itong mga mesa sa kanan?
Are they already done with what to do?	Tapos na ba sila sa gawain?
Are they already finished with what to do?	Tapos na ba sila sa gawain?
Are they arriving next Friday?	Darating ba sila sa susunod na Biyernes?
Are they arriving next Monday?	Darating ba sila sa susunod na Lunes?
Are they arriving next month?	Darating ba sila sa susunod na buwan?
Are they arriving next Saturday?	Darating ba sila sa susunod na Sabado?
Are they arriving next Sunday?	Darating ba sila sa susunod na Linggo?
Are they arriving next Thursday?	Darating ba sila sa susunod na Huwebes?
Are they arriving next Tuesday?	Darating ba sila sa susunod na Martes?
Are they arriving next Wednesday?	Darating ba sila sa susunod na Miyerkules?
Are they arriving next week?	Darating ba sila sa susunod na linggo?
Are they arriving next year?	Darating ba sila sa susunod na taon?
Are they leaving next Friday?	Aalis ba sila sa susunod na Biyernes?
Are they leaving next Monday?	Aalis ba sila sa susunod na Lunes?
Are they leaving next month?	Aalis ba sila sa susunod na buwan?
Are they leaving next Saturday?	Aalis ba sila sa susunod na Sabado?
Are they leaving next Sunday?	Aalis ba sila sa susunod na Linggo?
Are they leaving next Thursday?	Aalis ba sila sa susunod na Huwebes?
Are they leaving next Tuesday?	Aalis ba sila sa susunod na Martes?
Are they leaving next Wednesday?	Aalis ba sila sa susunod na Miyerkules?
Are they leaving next week?	Aalis ba sila sa susunod na linggo?
Are those chairs in the middle broken?	Sira ba iyong mga silya sa gitna?
Are those chairs in the middle broken?	Sira ba iyong mga upuan sa gitna?
Are those chairs on the left broken?	Sira ba iyong mga silya sa kaliwa?
Are those chairs on the left broken?	Sira ba iyong mga upuan sa kaliwa?
Are those chairs on the right broken?	Sira ba iyong mga silya sa kanan?
Are those chairs on the right broken?	Sira ba iyong mga upuan sa kanan?
Are those tables in the middle broken?	Sira ba iyong mga mesa sa gitna?
Are those tables on the left broken?	Sira ba iyong mga mesa sa kaliwa?
Are those tables on the right broken?	Sira ba iyong mga mesa sa kanan?
Are we allowed to take pictures here?	Pwede ba tayo kumuha ng litrato dito?
Are we moving too fast?	Masyado bang mabilis ang paggalaw natin?
Are you all set for the trip?	Handa na ba kayo para sa biyahe?
Are you available to meet tomorrow?	Libre ka ba bukas upang magkita tayo?
Are you bringing your camera?	Dadalhin mo ba ang paglitrato mo?
Are you bringing your shoes?	Dadalhin mo ba ang iyong sapatos?
Are you busy tomorrow night?	marami ka bang gagawin bukas ng gabi?
Are you coming to school today?	Papasok ba kayo sa paaralan ngayon?
Are you doing something important?	May importante ka bang gagawin mamaya?
Are you doing something tonight?	May gagawin ka ba ngayong gabi?
Are you done with your project?	Tapos na ba kayo sa project niyo?
Are you done writing the report?	Tapos mo na ba isulat yung report?
Are you familiar with this place?	Pamilyar ka ba sa lugar na ito?
Are you fast enough to compete?	Sapat na baa ng iyong liksi para lumaban?
Are you feeling fine already?	Maginhawa na ba ang pakiramdam mo?
Are you feeling fine today?	Maayos ba ang pakiramdam mo ngayon?
Are you free next Wednesday?	Libre ka ba sa susunod na Miyerkules?
Are you giving me a clue?	Binibigyan mo ba ako ng palatandaan?
Are you giving me a headache?	Binibigyan mo ba ako ng sakit ng ulo?
Are you going to attend the meeting?	Pupunta ka ba ng pagpupulong?
Are you going to go out with Tom again?	Lalabas ka ba ulit kasama si Tom?
Are you going to go to Tokyo tomorrow?	Pupunta ka ba sa Tokyo bukas?
Are you going to have dinner at home?	Kakain ka ba ng hapunan sa bahay?
Are you going to have dinner at home?	Sa bahay ka ba kakain ng hapunan?
Are you going to Petersburg tomorrow?	Pupunta ka ba sa Petersburg bukas?
Are you going to stay in bed all day?	Hihiga ka lang ba buong araw?
Are you going to take a plane or train?	sasakay ka ba sa tren o sa eroplano?
Are you happy with my company?	Maligaya ka bang kasama mo ako?
Are you having trouble finding sleep?	Nahihirapan ka bang humanap ng tulog?
Are you in the Kawasaki group?	Nasa grupo ka ba ng mga Kawasaki?
Are you interested in baseball, Tom?	Interesado ka ba sa baseball, Tom?
Are you interested in dating, Tom?	Interesado ka ba makipag-date, Tom?
