When it happens.	Kung magkagayon.
A gas station is one kilometer ahead.	May gasolinahan pagkalagpas ng isang kilometro.
A gentleman wouldn't do such a thing.	Ang tunay na lalaki ay hindi gagawa ng ganoong bagay.
A glass of wine revived the tired traveler.	Isang baso ng alak nagpabuhay sa pagod na manlalakbay.
A good beginning makes a good ending.	Ang magandang simula ay gumagawa ng magandang pagtatapos.
A good daughter will make a good wife.	Ang mabuting anak ay magiging mabuting asawa.
A good lawyer defended the accused.	Isang mahusay na abogado ang nagtanggol sa akusado.
A GPU costs 30,000 pesos nowadays.	Sa ngayon, ang isang GPU ay may presyo ng 30,000 piso.
A group of gangsters stole the money.	Isang grupo ng masamang-loob ang nagnakaw ng pera.
A heart that's broke is a heart that's been loved.	Ang pusong nasakan ay isang pusong minahal.
A hideous monster used to live there.	May isang pangit na halimaw ang nakatira diyan dati.
A holiday this summer is out of the question.	ang bakasyon ngayong tag-init ay hindi kasama.
A horse can run faster than a man can.	Ang kabayo ay mas mabilis tumakbo kaysa sa tao.
A housewife has many domestic duties.	Ang maybahay ay maraming tungkulin sa bahay.
A hundred years is called a century.	Ang isang daang taon ay tinatawag na isang siglo.
A jellyfish goes to one side of the city.	Ang isang dikya ay pumunta sa isang sulok ng siyudad.
A last minute invitation was given to Howie.	inimbita si Howie sa huling sandali.
A life with love is a life that's been lived.	Ang buhay na may pag-ibig ay isang buhay na totoo.
A lions grunt doesn't sound like the MGM roar.	Ang kuliglig ng leon ay hindi parang tunog ng MGM.
A little bit of black and a little bit pink.	Kaunti lamang na itim at kaunti lamang na rosas.
A little delay and we'd have lost him.	Kaunting pagkaantala pa at baka nawala na sya.
A little love can make me happy.	Ang maliit na pag-ibig ay makapagpasaya sa akin.
A lot of bears do not know of the transformation.	Maraming oso ang hindi alam ang tungkol sa pagpapalit-anyo.
A lot of birds do not know the notebook.	Maraming ibon ang hindi alam ang talaan.
A lot of books are published every year.	Maraming libro ang pina-publish bawat taon.
A lot of carabaos saw the training.	Maraming kalabaw ang nakakita sa pagsasanay.
A lot of cards do not need maintenance.	Maraming kard ang hindi kailangan ng pag-aalaga.
A lot of chickens didn't need help.	Maraming manok ang hindi kailangan ng tulong.
A lot of chicks waste time on volleyball.	Maraming sisiw ang nagsasayang ng oras sa volleyball.
A lot of dogs waste time on volleyball.	Maraming aso ang nagsasayang ng oras sa volleyball.
A lot of fireflies do not know the notebook.	Maraming alitaptap ang hindi alam ang talaan.
A lot of horses do need food to survive.	Maraming kabayo ang kailangan ng pagkain para mabuhay.
A lot of items are made for horses.	Maraming bagay ang ginawa para sa mga kabayo.
A lot of items are made for shrimps.	Maraming bagay ang ginawa para sa mga hipon.
A lot of jellyfishes didn't need help.	Maraming dikya ang hindi kailangan ng tulong.
A lot of jellyfishes do not need maintenance.	Maraming dikya ang hindi kailangan ng pag-aalaga.
A lot of people attended Tom's funeral.	Maraming tao ang dumalo sa libing ni Tom.
A lot of sheep do not know the notebook.	Maraming tupa ang hindi alam ang talaan.
A lot of shrimps do need food to survive.	Maraming hipon ang kailangan ng pagkain para mabuhay.
A lot of the bulls are planning their escape.	Maraming toro ang nagpaplano ng pagtakas.
A lot of the kittens are planning their escape.	Maraming kuting ang nagpaplano ng pagtakas.
A lot of the pigs are planning their escape.	Maraming baboy ang nagpaplano ng pagtakas.
A lot of things changes as time goes by.	Marami nang nagbago sa paglipas ng panahon.
A major drug lord was recently captured.	Isang pangunahing drug lord ay kamakailan nakunan.
A man is known by the company he keeps.	Ang tao ay kilala sa kanyang mga taong pinipili.
A man was fishing on the opposite bank.	May isang lalaki na namimingwit sa kabilang bahagi.
A match between the chicks and chicks is near.	Ang laban ng sisiw at sisiw ay nalalapit.
A match between the dogs and cats is near.	Ang laban ng pusa at aso ay nalalapit.
A mile is equal to about 1600 meters.	Ang isang milya ay katumbas ng 1600 na metro.
A minute later they let the count in.	mayamaya ay pinapasok na nila ang konde.
A month had passed since he had been stabbed.	Isang buwan na ang nakalipas noong siya ay nasaksak.
A mysterious donor came out of nowhere.	Isang misteryosong donor ang lumitaw mula sa kawalan.
A parent's love is unconditional.	Ang pagmamahal ng magulang ay walang kapalit.
A passenger has just fallen down in the aisle.	Isang pasahero ang bumagsak sa sahig.
A picture is worth a thousand words.	Ang larawan ay kahalaga nang libong salita.
A politician should serve the people.	Ang politiko ay dapat maglingkod sa mga tao.
A practice match between teammates is tomorrow.	Isang pagsasanay na laro ang nakaabang bukas.
A practice match is set for tomorrow.	Isang pagsasanay na laban ang nakahandang laruin bukas.
A rabbit has long ears and a short tail.	Mahaba ang taynga't maikli ang buntot ng kuneho.
A room full of bulls is near.	Malapit ang toro sa isang kwartong puno ng toro.
A room full of kittens is near.	Malapit ang kuting sa isang kwartong puno ng kuting.
A room full of pigs is near.	Malapit ang baboy sa isang kwartong puno ng baboy.
A sign, maybe, of good things to come.	Isang tanda, marahil, ng magagandang bagay na darating.
A sleeping child looks like an angel.	Ang natutulog na bata ay mukhang anghel.
A smart dog never barks for no reason.	Ang matalinong aso ay hindi basta-basta tumatahol.
A spider can have many spirits.	Ang gagamba ay maaring magkaroon ng maraming espiritu.
A stranger asked me the way to the school.	May mamang nagtanong sa akin ang papunta sa paaralan.
A strong exorcist appears.	Isang malakas na taga-alis ng demonyo ang dumating.
A Styrofoam cooler and a bag of ice.	Ang isang Styrofoam palamigan at isang bag ng yelo.
A swan can have many spirits.	Ang gansa ay maaring magkaroon ng maraming espiritu.
A tall elephant shot a three pointer.	Isang matangkad na elepante ang pumasok ng tres.
A team is composed of eleven players.	Ang isang team ay binubuo ng labing isang manlalaro.
A thief took her diamond necklace.	Sinambilat ng magnanakaw ang kaniyang kwintas.
A traveler is like a free spirit.	Ang manlalakbay ay parang isang malayang kaluluwa.
A trickle of blood ran down his neck.	May patak ng dugo na dumaloy sa kanyang batok.
A true linguist in the land of engineers!	Isang tunay na linggwista sa lupain ng mga inhinyero!
A visual guide to the countries of the world.	Isang biswal na gabay sa mga bansa sa mundo.
A week from today, I'll be in England.	Pagkalipas ng isang linggo, ako ay nasa England na.
A week from today, I'll be in England.	Makalipas ang isang linggo, ako ay nasa Inglatera na.
A week later he obtained his leave.	Matapos ang isang linggo pinayagan na siya.
A wise man would not say such a thing.	Ang matalinong tao ay hindi magsasabi ng ganyang bagay.
A young child has a small vocabulary.	Ang mga bata ay may maliit na bokabularyo.
Abortions take place around the world.	Ang pagpapalaglag ay nagaganap sa buong mundo.
About one third of the earth's surface is land.	Mga katlo ng ibabaw ng Tiyera'y lupa.
About ten or fifteen minutes ago.	halos sampu o labing limang minuto na ang nakalipas.
About the middle of the day, it began to grow dark.	sa gitna ng araw ay nagsimulang dumilim.
About thirty minutes later it would return.	babalik rin ito pagkatpaos ng tatlumpong minuto.
About this is that they don't even read.	tungkol dito ay ni hindi nila binabasa ang bersikulo 2.
About this time I found out the use of a key.	sa oras na ito ay nalaman ko na ang gamit ng susi.
Accept that you have lost and I have won.	Tanggapin mong talo ka at panalo ako.
Accept your past with no regrets.	Tanggapin ang iyong nakaraan ng walang pagsisisi.
Accountants work 44 hours a week.	Nagtratrabaho ang mga accountant ng 44 oras sa isang linggo.
Accountants work 44 hours a week.	Ang mga kontador ay nagtatrabaho ng 44 oras sa isang linggo.
ACLU guy: It scares the heck out of me.	Lalaking taga ACLU: Tinatakot ako nito ng husto.
Act like a professional when at work.	Kumilos tulad ng isang propesyonal kapag nasa trabaho.
Act like a professional when at work.	Umasta ka gaya ng isang propesyonal kapag nasa trabaho.
Activities are on hiatus right before a test.	Ang mga gawain ay nakatigil bago ang pagsusulit.
Actually, tomorrow's a little busy.	sa talaga lang, medyo maraming gagawin bukas.
Add to the contents of the bulletin board.	Dagdagan mo ang laman ng bulletin board.
Adjectives describe nouns.	Ang mga pang-uri ay naglalarawan ng mga pangngalan.
Admission to the school is based on picking.	Ang pagpasok sa paaralan ay nakabase sa pagpili.
Adult life is rough sometimes.	Ang pang-adultong buhay ay mahirap kung minsan.
Afraid, we stayed confined in the well.	Takot, nakakulong lang kami ng balon.
After a while, the baby fell asleep.	Pagkatapos ng ilang saglit, nakatulog ang sanggol.
After all, tomorrow would answer the question.	sa wakas bukas na masasagot ang tanong.
After an hour of poking and prodding.	Pagkatapos ng isang oras ng pagsundot at paghimok.
After breakfast tomorrow she would leave.	Aalis na siya bukas pagkatapos ng almusal.
After Christ's coming to this earth.	matapos na dumating si Kristo dito sa lupa.
After days of warm weather, it became cold.	Pagkatapos ng mainit na panahon, naging malamig.
After I watched TV, I went to bed.	Pagkatapos manuod ng tibi, natulog na ako.
After taking a shower, Tom ate dinner.	Pagkatapos maligo, kumain si Tom ng hapunan.
After the heavy rain, there was a big flood.	Pagkatapos ng malakas na ulan, bumahang maigi.
After the meal, I asked for the bill.	Pagkatapos ng pagkain, hiningi ko ang bill.
Albert Einstein was born in Germany.	Si Albert Einstein ay isinilang sa Germany.
Alexander Graham Bell invented the telephone.	inimbento ni Alexander Graham Bell ang telepono.
Alice was tired of sitting by her sister.	Si Alice ay pagod na umupo sa tabi ng kanyang kapatid.
All animals have many cells.	Ang lahat ng mga hayop ay may maraming mga selula.
All bees have fun playing floorball.	Lahat ng bubuyog ay nagsisiya sa floorball.
All hope of winning the game vanished.	Nawala ang pag-asang maipanalo ang laro.
All I need is a little cooperation.	Kailangan ko lang ng kaunting kooperasyon.
All major credit cards are accepted.	Tinatanggap ang lahat ng pangunahing kredit kard.
All men now call him St. Francis.	tinatawag na siya ng lahat nngayon bilang St. Francis.
All of a sudden, a dog began barking.	Bigla na lang nagsimulang tumahol ang aso.
All of them wanted to know my secret.	Lahat sila ay gustong malaman ang sikreto ko.
All of this is just an imagination.	Ang lahat ng ito ay isang imahinasyon lamang.
All of us deserves a second chance.	Tayong lahat ay nararapat mabigyan ng ikalawang pagakakataon.
All of us swim except for our grandparents.	Lahat kami lumangoy bukod sa lola at lolo ko.
All of us were busy cleaning the room.	Lahat kami ay abala sa paglilinis ng kuwarto.
All of us were busy cleaning the room.	Lahat kami ay atubili sa paglilinis ng kuwarto.
All plants need water and light.	Lahat ng halaman ay kailangan ang tubig at ilaw.
All puppies have fun playing floorball.	Lahat ng tuta ay nagsisiya sa floorball.
All that day the hounds remained at home.	buong araw nanatili ang mga aso sa bahay.
All the chairs in the middle are broken!	Sira ang lahat ng mga silya sa gitna!
All the chairs in the middle are broken!	Sira ang lahat ng mga upuan sa gitna!
All the chairs in the middle are broken.	Sira ang lahat ng mga silya sa gitna.
All the chairs in the middle are broken.	Sira ang lahat ng mga upuan sa gitna.
All the computers in the middle are broken!	Sira ang lahat ng mga kompyuter sa gitna!
All the computers in the middle are broken.	Sira ang lahat ng mga kompyuter sa gitna.
All the computers on the left are broken!	Sira ang lahat ng mga kompyuter sa kaliwa!
All the computers on the left are broken.	Sira ang lahat ng mga kompyuter sa kaliwa.
All the computers on the right are broken!	Sira ang lahat ng mga kompyuter sa kanan!
All the computers on the right are broken.	Sira ang lahat ng mga kompyuter sa kanan.
All the members of the club agreed with me.	Lahat ng kasapi ng club ay sumang-ayon sa akin.
All the people I met were in their 20s.	Ang lahat ng mga taong nakilala ko ay nasa kanilang 20s.
All the same things Matthew 24 says.	ng mga bagay na katulad ng sinasabi sa Mateo 24.
All the schools are closed on that holiday.	sarado lahat ng eskwela sa bakasyong iyon.
All these chairs in the middle are broken!	Sira lahat itong mga silya sa gitna!
All these chairs in the middle are broken!	Sira lahat itong mga upuan sa gitna!
All these chairs in the middle are broken.	Sira lahat itong mga silya sa gitna.
All these chairs in the middle are broken.	Sira lahat itong mga upuan sa gitna.
All these chairs on the left are broken!	Sira lahat itong mga silya sa kaliwa!
All these chairs on the left are broken!	Sira lahat itong mga upuan sa kaliwa!
All these chairs on the left are broken.	Sira lahat itong mga silya sa kaliwa.
All these chairs on the left are broken.	Sira lahat itong mga upuan sa kaliwa.
All these chairs on the right are broken!	Sira lahat itong mga silya sa kanan!
All these chairs on the right are broken!	Sira lahat itong mga upuan sa kanan!
All these chairs on the right are broken.	Sira lahat itong mga silya sa kanan.
All these chairs on the right are broken.	Sira lahat itong mga upuan sa kanan.
All these computers in the middle are broken!	Sira lahat itong mga kompyuter sa gitna!
All these computers in the middle are broken.	Sira lahat itong mga kompyuter sa gitna.
All these computers on the left are broken!	Sira lahat itong mga kompyuter sa kaliwa!
All these computers on the left are broken.	Sira lahat itong mga kompyuter sa kaliwa.
All these computers on the right are broken!	Sira lahat itong mga kompyuter sa kanan!
All these computers on the right are broken.	Sira lahat itong mga kompyuter sa kanan.
All these tables in the middle are broken!	Sira lahat itong mga mesa sa gitna!
All these tables in the middle are broken.	Sira lahat itong mga mesa sa gitna.
All things need God and each other.	Lahat ng bagay ay kailangan ng Panginoon at isa't isa.
All those chairs in the middle are broken!	Sira lahat iyong mga silya sa gitna!
All those chairs in the middle are broken!	Sira lahat iyong mga upuan sa gitna!
All those chairs in the middle are broken.	Sira lahat iyong mga silya sa gitna.
All those chairs in the middle are broken.	Sira lahat iyong mga upuan sa gitna.
All those chairs on the left are broken!	Sira lahat iyong mga silya sa kaliwa!
All those chairs on the left are broken!	Sira lahat iyong mga upuan sa kaliwa!
All those chairs on the left are broken.	Sira lahat iyong mga silya sa kaliwa.
All those chairs on the left are broken.	Sira lahat iyong mga upuan sa kaliwa.
All those chairs on the right are broken!	Sira lahat iyong mga silya sa kanan!
All those chairs on the right are broken!	Sira lahat iyong mga upuan sa kanan!
All those chairs on the right are broken.	Sira lahat iyong mga silya sa kanan.
All those chairs on the right are broken.	Sira lahat iyong mga upuan sa kanan.
All those computers in the middle are broken!	Sira lahat iyong mga kompyuter sa gitna!
All those computers in the middle are broken.	Sira lahat iyong mga kompyuter sa gitna.
All those computers on the left are broken!	Sira lahat iyong mga kompyuter sa kaliwa!
All those computers on the left are broken.	Sira lahat iyong mga kompyuter sa kaliwa.
All those computers on the right are broken!	Sira lahat iyong mga kompyuter sa kanan!
All those computers on the right are broken.	Sira lahat iyong mga kompyuter sa kanan.
All those tables in the middle are broken!	Sira lahat iyong mga mesa sa gitna!
All those tables in the middle are broken.	Sira lahat iyong mga mesa sa gitna.
All tigers have fun playing floorball.	Lahat ng tigre ay nagsisiya sa floorball.
How are you?	Kamusta ka?
I am fine, thank you.	Ayos naman ako, salamat.
All you have to do is sweep the floor.	Ang kailangan mo lang gawin ay walisin ang sahig.
All you have to do is wash the dishes.	Basta kailangan mo lang hugasan ang pinggan.
All you need is to believe in yourself.	Kailangan mo lang paniwalaan ang iyong sarili.
Allopatric, sympatric, polyploidization, etc.	allopatric, sympatric, polyploidization, etc.
Almost everyone here can speak French.	Halos lahat ng tao ay nakakapagsalita ng French.
Almost everyone I know has a bicycle.	Halos lahat ng kakilala ko ay may bisikleta.
Alright, just change the color to orange.	Sige, palitan mo na lang ang kulay ng kahel.
Although he may be clever, he is not wise.	Bagamat matalino man siya, di siya wais.
Although on many occasions, I still fail.	Bagama't sa maraming okasyon, pumapalya pa rin ako.
Although the sun was out, it was cold.	Kahit sikat na ang araw, malamig pa rin.
Always attend the flag raising ceremony.	Palaging dumalo sa pagtataas ng bandila.
Always fight for the things you love.	Palaging ipaglaban ang mga bagay na gusto mo.
Always keep your workplace organized.	Panatilihing malinis ang lugar ng trabaho.
Always pray before you go to distant places.	Laging magdasal bago pumunta sa malalayong lugar.
Always try to improve your craft.	Laging subukang pabutihin ang iyong kasanayan.
An accountant audits business accounts.	Ang accountant ay nag-aaudit ng mga business account.
An accountant audits business accounts.	Ang tagapagtuos ay nagsusuri ng mga account pangnegosyo.
An American spoke to me at the station.	May Amerikano na kumausap sa akin sa istasyon.
An awful accident happened yesterday.	may kakila-kilabot na aksidente kahapon.
An early day for him is going home at 9 PM.	Isang maagang araw para sa kanya ang pag-uwi ng 9 PM.
An enormous hippo popped out of the lake.	Isang napakalaking hippo ang lumabas sa lawa.
An example of this is the Caulobacter.	Isang halimbawa nito ay ang mga Caulobacter.
An eye for an eye, a tooth for a tooth.	Mata para sa mata, ngipin para sa ngipin.
An old man is buying an apple.	Isang matandang lalaki ang bumibili ng mansanas.
Analgesics are related to anesthesia.	May kaugnayan ang mga analhesiko sa anestisya.
And as a part-time lifeguard on weekends.	At bilang part-time lifeguard tuwing Sabado at Linggo.
And bond.	at ang mga alipin ay pinabigyan ng isang tanda ng Marcos sa kanilang kanang kamay.
And despite everything, you love this the most.	At sa kabila ng lahat, gustung-gusto mo ito.
And do not ever forget your family.	At huwag na huwag mong kakalimutan ang iyong Pamilya.
And he'll know if you're telling the truth.	at malalaman niya kung kayo ay nagsasabi ng totoo.
And his angels were cast out with him.	at ang kaniyang mga anghel ay inihagis na kasama niya.
And I was so sure I would do well.	At sigurado pa naman ako na mahusay ang magagawa ko.
And if it could happen at any time.	at kung ito ay maaaring maganap ano mang oras.
And I'm sure one day you'll learn.	At alam ko na balang araw ay matututo rin kayo.
And immediately I was in the spirit and.	Pagdakay napasa Espiritu ako: at narito.
And it's hard to find somewhere else.	At siyang mahirap na matatagpuan sa ibang lugar.
And it's not a fight we intend to lose .	At hindi kami patatalo sa labang ito.
And let me just close on this one thought.	At hayaan ninyo akong isara ito sa isang kaisipan.
And now it will never be possible to put it right.	at ngayon ay hinding hindi na siya maayos.
And now she's ill, and God knows that!	at ngayon ay may sakit na siya, at alam ito ng Diyos!
And out of Denver, three hours away.	At mula sa Denver, tatlong oras ang layo.
And put Greg back in cement mixing.	Ibalik mo si Greg sa paghahalo ng semento.
And she's going again next week!	At pupunta na naman siya sa susunod na linggo!
And take a stand for what I knew was true.	at manindigan sa kung ano ang alam kong totoo.
And that person is known as the antichrist.	at ang taong iyon ay makikilala bilang antikristo.
And that there will be no signs.	at walang magiging mga palatandaan ang kanyang pagdating.
And that was almost half a century ago!	mahigit kalahating siglo na ang nakakalipas!
And the greedy countered hazrat Jesus Christ.	at ang ganid ay sumalungat kay hazrat HesuKristo.
And the next you refuse to see anyone.	noong isang araw naman ay ayaw mo makipagkita kahit kanino.
And the next you refuse to see anyone.	Isang araw naman ay ayaw mo makipagkita kahit kanino.
And then I started making plans.	At pagkatapos ay nagsimula akong gumawa ng mga plano.
And they will also declare him to be God.	ay siya ay ididiklara din nila bilang Diyos.
And we look up just knowing this is it.	at tayo ay titingin sa itaas at alam nating ito na iyon.
And when they hatch, what do they do?	At kapag napisa na sila, ano'ng ginagawa nila?
And with all this right around the corner.	At sa ngayon na ang mga ito ay nasa kalapit na lamang.
And would you now like to look round my place?	gusto mo bang lumibot ngayon sa amin?
And you feel like that's not being acknowledged?	At sa tingin mo ay hindi iyon napapansin?
Andy treated her like a professional.	Tinrato siya ni Andy gaya ng isang propesyonal.
Ang gusto ko lang ay kantahin ito nang malakas.	All I want is to sing it out loud.
Animals cannot live in the city.	Hindi kayang mamuhay ng mga hayop sa siyudad.
Anna has been living in Warsaw for five months.	Tumira si Anna sa Warso ng limang buwan.
Anong oras darating itong tren sa Yokohama?	Anong oras darating itong tren sa Yokohama?
Another chicken is possessed by the card.	Isa pang manok ang kontrolado ng kard.
Another fish wants the fish to be cooked.	Isa pang isda ang gustong iluto ang isda.
Another fish wants to be friends with the fish.	Isa pang isda ang gustong makipagkaibigan sa isda.
Another frog wants the frog to be cooked.	Isa pang palaka ang gustong iluto ang palaka.
Another game was scheduled for tomorrow.	Nangako ang mga pusa na maglaban-laban sa dulo.
Another jellyfish is possessed by the jellyfish.	Isa pang dikya ang kontrolado ng dikya.
Another month and you're still defiant.	Isang buwan na ang nakalipas at mapanlaban ka pa rin.
Another notebook is discovered by a bird.	Isa pang talaan ang nahanap ng isang ibon.
Another notebook is discovered by a firefly.	Isa pang talaan ang nahanap ng isang alitaptap.
Another notebook is discovered by a sheep.	Isa pang talaan ang nahanap ng isang tupa.
Anyhow, I'm relieved the test is over.	Basta, masaya ako na tapos na ang test.
Anyone else with the same question?	Meron pa bang iba na may ganun ding katanungan?
Anyone here, who'll strive to win this pen?	Meron ba ritong magsisikap makuha ang pen na ito?
Apply ice to reduce the pain in your foot.	Dikitan ng yelo upang mabawasan ang sakit sa iyong paa.
Apply yourself at whatever you do.	Ilapat ang iyong sarili sa kahit anong ginagawa mo.
April twenty-eight is the date today.	Ikadalawampu't-walo ng Abril ang petsa ngayon.
April twenty-five is the date today.	Ikadalawampu't-lima ng Abril ang petsa ngayon.
April twenty-four is the date today.	Ikadalawampu't-apat ng Abril ang petsa ngayon.
April twenty-nine is the date today.	Ikadalawampu't-siyam ng Abril ang petsa ngayon.
April twenty-one is the date today.	Ikadalawampu't-isa ng Abril ang petsa ngayon.
April twenty-seven is the date today.	Ikadalawampu't-pito ng Abril ang petsa ngayon.
April twenty-six is the date today.	Ikadalawampu't-anim ng Abril ang petsa ngayon.
April twenty-three is the date today.	Ikadalawampu't-tatlo ng Abril ang petsa ngayon.
April twenty-two is the date today.	Ikadalawampu't-dalawa ng Abril ang petsa ngayon.
Are all the chairs in the middle broken?	Sira ba ang lahat ng mga silya sa gitna?
Are all the chairs in the middle broken?	Sira ba ang lahat ng mga upuan sa gitna?
Are all the chairs on the left broken?	Sira ba ang lahat ng mga silya sa kaliwa?
Are all the chairs on the left broken?	Sira ba ang lahat ng mga upuan sa kaliwa?
Are all the chairs on the right broken?	Sira ba ang lahat ng mga silya sa kanan?
Are all the chairs on the right broken?	Sira ba ang lahat ng mga upuan sa kanan?
Are all the computers in the middle broken?	Sira ba ang lahat ng mga kompyuter sa gitna?
Are all the computers on the left broken?	Sira ba ang lahat ng mga kompyuter sa kaliwa?
Are all the computers on the right broken?	Sira ba ang lahat ng mga kompyuter sa kanan?
Are all the tables in the middle broken?	Sira ba ang lahat ng mga mesa sa gitna?
Are all the tables on the left broken?	Sira ba ang lahat ng mga mesa sa kaliwa?
Are all the tables on the right broken?	Sira ba ang lahat ng mga mesa sa kanan?
Are all these chairs in the middle broken?	Sira ba lahat itong mga silya sa gitna?
Are all these chairs in the middle broken?	Sira ba lahat itong mga upuan sa gitna?
Are all these chairs on the left broken?	Sira ba lahat itong mga silya sa kaliwa?
Are all these chairs on the left broken?	Sira ba lahat itong mga upuan sa kaliwa?
Are all these chairs on the right broken?	Sira ba lahat itong mga silya sa kanan?
Are all these chairs on the right broken?	Sira ba lahat itong mga upuan sa kanan?
Are all these computers in the middle broken?	Sira ba lahat itong mga kompyuter sa gitna?
Are all these computers on the left broken?	Sira ba lahat itong mga kompyuter sa kaliwa?
Are all these computers on the right broken?	Sira ba lahat itong mga kompyuter sa kanan?
Are all these tables in the middle broken?	Sira ba lahat itong mga mesa sa gitna?
Are all these tables on the left broken?	Sira ba lahat itong mga mesa sa kaliwa?
Are all these tables on the right broken?	Sira ba lahat itong mga mesa sa kanan?
Are all those chairs in the middle broken?	Sira ba lahat iyong mga silya sa gitna?
Are all those chairs in the middle broken?	Sira ba lahat iyong mga upuan sa gitna?
Are all those chairs on the left broken?	Sira ba lahat iyong mga silya sa kaliwa?
Are all those chairs on the left broken?	Sira ba lahat iyong mga upuan sa kaliwa?
Are all those chairs on the right broken?	Sira ba lahat iyong mga silya sa kanan?
Are all those chairs on the right broken?	Sira ba lahat iyong mga upuan sa kanan?
Are all those computers in the middle broken?	Sira ba lahat iyong mga kompyuter sa gitna?
Are all those computers on the left broken?	Sira ba lahat iyong mga kompyuter sa kaliwa?
Are all those computers on the right broken?	Sira ba lahat iyong mga kompyuter sa kanan?
Are all those tables in the middle broken?	Sira ba lahat iyong mga mesa sa gitna?
Are all those tables on the left broken?	Sira ba lahat iyong mga mesa sa kaliwa?
Are all those tables on the right broken?	Sira ba lahat iyong mga mesa sa kanan?
Are the weight of our bags okay?	Ang bigat ba ng mga bagahe natin katanggap-tanggap na?
Are there any beautiful parks in Japan?	May magaganda bang mga parke sa Japan?
Are there published reviews on this idea?	Mayroon bang nailathalang mga pagsusuri sa ideyang ito?
Are these computers in the middle broken?	Sira ba itong mga kompyuter sa gitna?
Are these computers on the left broken?	Sira ba itong mga kompyuter sa kaliwa?
Are these computers on the right broken?	Sira ba itong mga kompyuter sa kanan?
Are those computers in the middle broken?	Sira ba iyong mga kompyuter sa gitna?
Are those computers on the left broken?	Sira ba iyong mga kompyuter sa kaliwa?
Are those computers on the right broken?	Sira ba iyong mga kompyuter sa kanan?
Are those flowers given by my boyfriend?	Ibinigay ba yang bulaklak ng aking kasintahan?
